PC1,PC2,Fault
-0.7588744618981756,-0.08112614941542337,16
-1.4237404193814112,-0.2801319119939481,17
-0.378008750518746,-0.5060875318089707,4
-0.8617829276615291,-0.5354001381934747,16
-0.9665749168018662,0.3326859457800247,19
-1.3697717368239946,0.1425025991637544,16
-1.317637615688984,0.5943119620069253,17
-0.6552510181637824,0.6512515734476804,17
-4.146578145226012,3.577945612727607,13
-1.157062716729185,0.038805957488225705,11
14.689189957463256,-8.90229236241062,6
-1.441801958763452,-0.7597816480598024,9
-0.28506316897828393,-0.0009230813682661419,10
-0.45095010255671036,0.04024223000443452,4
-0.7552658677613905,-0.9198174283174546,5
1.3058645562139142,0.5575007481661941,18
-1.9856178897932009,-1.3539677735884956,1
-0.20648697448721554,0.623624909556547,1
3.27357316041247,0.7105444401109783,13
-0.6273097823900788,0.7419706006449179,14
-2.4671341655452554,-0.7567273563922963,13
-1.3085086775336887,-1.8073670510706004,1
-0.8219584358625914,0.44954250852144706,17
-0.3562916752431686,0.28439953140918117,4
-1.4804398355489201,-0.016887677179936764,9
-0.5642344434849953,0.675616006596467,3
-1.388075003965609,-0.6776906443181221,18
-0.4740707732301494,0.8307827413188171,19
-0.5616827074396927,0.12391362144059029,19
15.143754033205855,-10.814782087352565,6
-0.1740962502494453,1.398689192580668,16
-0.43993430238537423,1.6568551089898764,17
-1.0427291612468774,0.15511041946754983,4
-4.132295759448253,1.006624300889505,8
-1.235998954963533,-0.5525501379838235,4
11.862244159138239,-8.985232541638311,6
-1.4184003271236214,-0.33936929820605866,14
-0.469613950090867,0.5060930664414155,3
-1.100385659214755,-1.1190820519618259,20
-0.7053848500631789,0.5511724323721963,4
-0.4805564169589981,0.023966679206725645,4
-0.9373850721096719,-0.7852314517314708,18
-0.35436450815716863,0.6765306337791462,9
-0.24097155066039544,-0.42119882509996664,7
12.886610567763809,-9.577287064949825,6
-0.9382663434815681,0.49388156594819194,16
-0.3814362167290048,0.5046457102132146,11
-0.5454443517235209,-0.1733842272079708,16
0.5937222609269868,0.7658140507323583,1
14.937537380603798,15.038713923373102,18
-0.10055530131749173,0.08300284596976501,8
-0.6608482128062962,0.5244937824682389,3
-5.548358645531555,-4.06704818471073,8
-1.0589072384252174,0.47264639877772646,15
-0.47170959775770244,-0.010176281381041022,11
-0.3467010896703581,0.6189359238816864,8
-0.06205015169936044,0.6194622725792686,19
-0.6416254687693533,-0.33957943217050046,15
-0.10984887722541276,0.7410821104843183,20
-1.0293214971964215,-0.8854275912639273,1
-1.234527057665315,1.7274434239078824,17
2.972969764665387,-0.9607191049484929,13
4.622037663428362,3.5423256338178417,7
-1.138177332749022,-0.29086181670389155,17
-3.9398294430951935,1.8071782022344458,8
-0.873706434842951,-0.0929710241421585,16
-6.271925300514552,-6.022009026834872,13
-1.0450271513518612,-0.5039988860474228,10
12.568342258375699,-8.585953950720047,6
-1.1536842691596543,-0.10042090137400125,17
-2.01955143684292,-1.5115623900737183,1
-1.1815139137294288,-0.5535072353342341,7
0.06544168578339207,2.5287423261045405,13
-1.1476278318841764,-0.6291284298666013,3
-0.34131148894923374,0.19193964615736292,4
-1.255487176287512,1.2835515752664581,7
-0.4176875121006691,0.38143647449577056,10
-0.3658524145358198,0.3589255225342132,14
-0.7000811874392757,0.7551191645072206,20
0.6467945913178396,1.5272921511669546,7
-0.8359146675653522,-0.9104892801447212,7
3.1856570766369656,-4.761477027620151,13
-1.731028961435972,-1.956671240647237,1
-1.1887410294746434,0.07089326604897696,14
-1.4373900062091594,-1.5745951117849262,18
-1.228777336594263,-0.4372712420353188,20
-1.318184426542679,0.4847021312979899,11
5.17584411519263,5.050100118403147,18
-0.9395246375151466,0.12018618339323389,14
-0.44574272634645373,0.283376585156404,7
-0.6158146318308884,0.35379897078500505,10
-1.3558114667907104,0.4779051293871182,12
-1.360210193711013,-0.7069871313316235,4
-0.7205053790650263,0.433430711297872,4
-0.8214065011883745,0.13848825867486708,19
-0.6128144431907916,0.4231568266540413,19
-0.5332500842744037,0.30330217706687546,17
-0.8002560182283003,-0.7315285613347824,12
-0.2903120421778488,-2.3094166737339714,6
-0.40155746597578756,0.19981596288728967,15
-1.215720986321229,0.43931258715969873,11
13.524984591277962,14.90208068330597,18
-0.6066561020396077,0.499398838302026,17
-0.691939447714694,0.3517249211582524,14
-4.427264753756924,-5.852474404600337,12
-1.418838762301792,-0.2827274927072799,9
-3.1923044444313744,0.9778742037034949,8
-0.44079500321777965,1.3797149214886932,3
-0.6549972568942725,0.26115352005090536,19
-2.2315614828277885,-4.26803258611432,18
-0.516999892445291,0.3337936840811059,17
-0.4763276377145804,0.3410539059275724,20
1.3800035757757967,2.190238624678473,18
1.2617626426704784,2.2229426509937737,12
-1.2535623783912841,-0.24270978226852008,15
-0.4217664964082864,0.8893704328480999,14
-0.40726255215806506,0.555030313931263,14
12.770895764152778,-9.072848862440972,6
-0.8466933150795966,0.22232791035707747,9
10.847724342110336,9.741967391072633,18
-0.36196615102475754,1.293183002297253,17
-0.37731839723083826,-1.8051203800588822,8
-0.5324002887393565,0.012729192504408156,19
4.8665796008239655,2.8806369981010786,13
-1.053325773340781,1.5230613909110597,17
3.424896673638402,2.7429829959090113,8
-0.9413457645811297,-0.1377472731054603,16
2.479729255771206,3.433914714431387,7
-1.3781412079388742,-0.24643848183457726,3
-4.0442015985267785,1.811031831646347,8
