Feature,Importance
xmv_10,0.07635345534524639
xmeas_21,0.05712841869211878
xmv_4,0.054507712866679034
xmeas_9,0.04536742062370934
xmeas_1,0.0448063200351273
xmv_3,0.03416568337030331
xmeas_19,0.03358428323604506
xmv_9,0.029414067304393377
xmeas_18,0.028066989999766805
xmeas_22,0.027562782204134745
xmv_5,0.02713523170027189
xmeas_10,0.026779686343421868
xmv_11,0.026328971876662367
xmv_6,0.02508047135021935
xmeas_11,0.021527746732073697
xmeas_20,0.021216487811853292
xmeas_5,0.021025006939851036
xmeas_29,0.02086599524857573
xmeas_16,0.02078703934683152
xmeas_4,0.01964269843302619
xmeas_13,0.01911843802892799
xmeas_7,0.01831376994180473
xmeas_17,0.01744109751874404
xmeas_34,0.0171617028026032
xmeas_31,0.01700695867050055
xmeas_23,0.01596830674140697
xmeas_28,0.014824101073092545
xmeas_25,0.01422893798343824
xmeas_38,0.01408582736746922
xmeas_35,0.01224280954787147
xmeas_33,0.012030182336019194
xmeas_27,0.01164110504294534
xmeas_36,0.01085790248245259
xmv_2,0.010744012859138872
xmeas_30,0.01062989198003817
xmeas_8,0.009928737899121982
xmeas_24,0.009684738749981745
xmeas_3,0.009677263947904522
xmeas_6,0.009143575666830031
xmeas_39,0.007319932095052382
xmeas_32,0.006943614690280984
xmv_1,0.0068456051820537794
xmeas_2,0.006761727605789718
xmeas_26,0.00658594104352814
xmeas_41,0.006558770204735743
xmeas_14,0.006539619072428846
xmeas_40,0.006346476062145186
xmeas_37,0.006208434039296504
xmv_8,0.006108406325663281
xmeas_15,0.0059369771414406825
xmv_7,0.005913539044405237
xmeas_12,0.005855127392577177
